,Unnamed: 0,openalex_id,doi,openalex_title,type,publication_date,openalex_publication_year,openalex_volume,issue,first_page,last_page,authors,keywords,abstract,openalex_source_title,source_issn,source_type,cited_by_count,referenced_works,openalex_name_1st_author,uuid,matched,score
1871,1893,https://openalex.org/W3119752640,,plasma enhanced atomic layer etch/atomic layer deposition,article,2020-10-05,2020,,,,,"Sebastian Engelmann, Hongwen Yan","Deposition, Layer by layer",,bulletin of the american physical society,['0003-0503'],journal,0,[],Engelmann,,False,
1872,1894,https://openalex.org/W3092114190,,atomic layer deposition of ymno 3 thin films,article,2020-01-01,2020,498,,,,"HyoungBeen Ju, Pham Calvin, Dorman James, Taeseung Kim, Phillippa Jane","Deposition, Layer by layer",,journal of magnetism and magnetic materials,"['0304-8853', '1873-4766']",journal,0,[],Ju,,False,
1873,1895,https://openalex.org/W2969423625,,inorganic nanostructures prepared by electrospinning and atomic layer deposition,article,2020-01-10,2020,,,,,Eero Santala,"Electrospinning, Deposition",,,,,0,[],Santala,,False,
1874,1896,https://openalex.org/W3120336219,,reaction network analysis for atomic layer deposition processes,article,2020-10-05,2020,,,,,Raymond A. Adomaitis,Deposition,,bulletin of the american physical society,['0003-0503'],journal,0,[],Adomaitis,,False,
1875,1897,https://openalex.org/W3005776028,,nanoengineering of two-dimensional ws2 by atomic layer deposition,article,2020-06-05,2020,,,,,Shashank Balasubramanyam,"Nanoengineering, Deposition",,,,,0,[],Balasubramanyam,,False,
1876,1898,https://openalex.org/W4403993312,,recent developments of the spatial atomic layer deposition technique,article,2021-11-03,2021,,,,,David Muñoz‐Rojas,Deposition,,,,,0,[],Muñoz‐Rojas,,False,
1877,1899,https://openalex.org/W4400432419,,deposition of functional thin films by spatial atomic layer deposition,article,2022-10-10,2022,,,,,David Muñoz‐Rojas,"Deposition, Layer by layer",,,,,0,[],Muñoz‐Rojas,,False,
1878,1900,https://openalex.org/W3015786536,,atomic layer deposition of sio$_{2}$-geo$_{2}$ multilayers,article,2020-04-01,2020,,,,,"Jordi Antoja-Lleonart, Silang Zhou, Kit de Hond, Gertjan Koster, Guus Rijnders, Beatriz Noheda",Deposition,,,,,0,[],Antoja-Lleonart,,False,
1879,1901,https://openalex.org/W3143652269,,modeling of low-temperature atomic layer deposition of aluminum nitride,article,2021-01-26,2021,,,,,"Kentaro Saito, Kazuki Yoshida, Masanori Miura, Kensaku Kanomata, Bashir Ahmmad, Shigeru Kubota, Fumihiko Hirose",Deposition,,the japan society of applied physics,,journal,0,[],Saito,,False,
1880,1902,https://openalex.org/W3084038466,,spatial atomic layer deposition for large area and flexible electronics,article,2020-06-02,2020,58,2,29,31,P.W.G. Poodt,Deposition,"Large-area and flexible electronics could potentially benefit tremendously from the advantages of ALD over other deposition techniques. These applications, however, require deposition on large areas and on flexible substrates at deposition rates unattainable with conventional ALD. For this purpose, spatial ALD has been developed, which relies on spatial instead of temporal separation of precursor exposures. In this article, the pivotal role of the Dutch spatial ALD community is highlighted, and several examples of current challenges in spatial ALD are discussed.",,,,0,[],Poodt,,False,
1881,1903,https://openalex.org/W3126753907,,towards the synthesis of max phases by atomic layer deposition (ald),article,2021-03-18,2021,,,,,"Oreste De Luca, Roman G. Parkhomenko, Mato Knez, D. Martínez-Martínez, Petra Rudolf",Deposition,,bulletin of the american physical society,['0003-0503'],journal,0,[],Luca,,False,
1882,1904,https://openalex.org/W3203297381,,basics of ald (atomic layer deposition) and application to semiconductor devices,article,2021-07-06,2021,,,,,"Yukiharu Uraoka, Mutsunori Uenuma",Deposition,,the japan society of applied physics,,journal,0,[],Uraoka,,False,
1883,1905,https://openalex.org/W3208159464,,modeling of low-temperature aluminum nitride atomic layer deposition,article,2021-07-06,2021,,,,,"Kentaro Saito, Kazuki Yoshida, Masanori Miura, Kensaku Kanomata, Bashir Ahmmad, Shigeru Kubota, Fumihiko Hirose",Deposition,,the japan society of applied physics,,journal,0,[],Saito,,False,
1884,1906,https://openalex.org/W3048703384,,atomic layer deposition of thin films for 3d lithium-ion microbatteries,article,2020-01-01,2020,,,,,Ryan Sheil,,"This work demonstrates the synthesis and characterization of several material systems that meet the required functional properties for direct integration in 3D lithium-ion microbatteries—conformal thin film solid-state electrolytes with adequate ionic conductivity and cathodes exhibiting high volumetric capacity, excellent rate capability, and cycle life. The atomic layer deposition (ALD) process optimization allowed for the control of the structural, chemical, and electrochemical properties of Li1+xMn2-xO4, LixAlySizO, as well as their interfacial properties that ultimately dictate electrochemical performance. The synthesis of Li1+xMn2-xO4 combined a plasma enhanced ALD process for MnO2 and a thermal process for ALD LiOH. The PEALD MnO2 showed self-limiting growth, stable composition (within 5% relative composition), and well-controlled growth rate over a temperature range of 205-265�C. As synthesized and amorphous ALD Li1+xMn2-xO4 films were crystallized into the electrochemically active spinel phase. Tuning of the ALD cycle ratio led to controlled Li content in Li1+xMn2-xO4 (x = 0-0.33), exhibiting electrochemical activity in both the 3.0V and 4.0V region depending on the stoichiometry. The Li1+xMn2-xO4 thin films exhibited great rate capability and capacity retention—maintaining 66% of the areal capacity upon increasing the rate by a factor of a 100 as well as 97% capacity retention over 100 cycles at 35.9 �A cm-2 (~5C). The measured volumetric capacity was 52 �Ah cm-2 �m-1 at ~C/2 and 45 �Ah cm-2 �m-1 after 100 cycles at ~5C, offering the potential for superior areal energy densities. Amorphous LixAlySizO thin films were synthesized and integrated on SiGe alloying anodes. Using in-situ transmission electron microscopy, the electrolyte layer was remained intact during the lithiation induced volume expansion of the nanowire for two different electrolyte thicknesses (8 and 20 nm). A novel hybrid solid-state electrolyte consisting of sequential deposition of ALD LixAlySizO and iCVD PV4D4 was synthesized to improve upon the mechanical properties of LixAlySizO for direct integration with high capacity anodes. Integration on Co3O4 thin films resulted in increased capacity-retention with continuous cycling with a discharge capacity 8.4% higher as compared to the uncoated Co3O4 anode after 100 cycles at ~2C.The stoichiometry of ALD LixAlySizO was controlled to allow for crystallization in the β-eucryptite phase for improved ionic conductivities. The crystallized LiAlSiO4 exhibited a well-defined epitaxial relationship of β-LiAlSiO4 (12 10) || Si (100) and β-LiAlSiO4 (101 0) || Si(001). The ionic conductivity of the crystallized thin film was around two orders higher than the amorphous as-deposited films (10-7 vs. 10-9 S/cm) at room temperature. Due to the unique 1-D channel along the c-axis of β-LiAlSiO4, the epitaxial thin film has the potential to facilitate ionic transport if oriented with the c-axis normal to the electrode surface making it a promising electrolyte material for 3D lithium-ion Microbatteries, where a properly oriented film offers the opportunity to achieve higher ionic conductivities.",,,,0,[],Sheil,,False,
1885,1907,https://openalex.org/W4405148204,,open-air printing of tcos by spatial atomic layer deposition,article,2023-10-12,2023,,,,,David Muñoz‐Rojas,Deposition,,,,,0,[],Muñoz‐Rojas,,False,
1886,1908,https://openalex.org/W4406240957,,atomic layer deposition process: from chemistry to functionnal materials,other,2023-11-17,2023,,,,,Catherine Marichy,"Deposition, Layer by layer",,,,,0,[],Marichy,,False,
1887,1909,https://openalex.org/W4402755593,,surface engineering of tubular membranes by spatial atomic layer deposition,article,2022-11-16,2022,,,,,"Fidel Toldrá‐Reig, Clément Lausecker, Matthieu Weber, Mikhaël Bechelany, David Muñoz‐Rojas","Deposition, Surface Engineering, Layer by layer",,,,,0,[],Toldrá‐Reig,,False,
1888,1910,https://openalex.org/W4406206268,,maskless localized atomic layer deposition: surface structuration and functionalization,article,2022-06-26,2022,,,,,"Laabdia Midani, Waël Ben-Yahia, Vincent Salles, Catherine Marichy","Surface Modification, Deposition",,,,,0,[],Midani,,False,
1889,1911,https://openalex.org/W3183165726,,plasma-assisted atomic layer deposition : high-volume manufacturing and new opportunities in research,article,2020-06-02,2020,58,2,10,13,Harm C. M. Knoops,Deposition,"The usage of plasma as a reactant in atomic layer deposition processes started out as a niche process but in the meantime had its breakthrough in high-volume manufacturing in nano-electronics. Understanding the processes in plasma ALD is challenging but the knowledge in the Netherlands on plasma science, surface science and the ALD end-applications are a perfect foundation for a globally leading position in this field.",,,,0,[],Knoops,,False,
1890,1912,https://openalex.org/W3086019619,,atomic layer deposition of cobalt oxide and copper oxide thin films,article,2020-09-25,2020,,,,,Tomi Iivonen,"Deposition, Cobalt oxide",,,,,0,"['https://openalex.org/W1662807266', 'https://openalex.org/W1860817706', 'https://openalex.org/W1871316382', 'https://openalex.org/W1919411819', 'https://openalex.org/W1967749052', 'https://openalex.org/W1968538359', 'https://openalex.org/W1972713274', 'https://openalex.org/W1974976048', 'https://openalex.org/W1975482702', 'https://openalex.org/W1977489248', 'https://openalex.org/W1977942867', 'https://openalex.org/W1986775011', 'https://openalex.org/W1986982082', 'https://openalex.org/W1990740452', 'https://openalex.org/W1992346828', 'https://openalex.org/W1993614411', 'https://openalex.org/W1994403799', 'https://openalex.org/W1994903454', 'https://openalex.org/W1999252242', 'https://openalex.org/W2000519268', 'https://openalex.org/W2006069298', 'https://openalex.org/W2006899770', 'https://openalex.org/W2009544965', 'https://openalex.org/W2010374953', 'https://openalex.org/W2013331738', 'https://openalex.org/W2015171250', 'https://openalex.org/W2015941783', 'https://openalex.org/W2017173496', 'https://openalex.org/W2020504721', 'https://openalex.org/W2021906059', 'https://openalex.org/W2025172217', 'https://openalex.org/W2025541564', 'https://openalex.org/W2027096074', 'https://openalex.org/W2028030029', 'https://openalex.org/W2029530347', 'https://openalex.org/W2035788492', 'https://openalex.org/W2035931858', 'https://openalex.org/W2036023959', 'https://openalex.org/W2037461883', 'https://openalex.org/W2040875144', 'https://openalex.org/W2041119155', 'https://openalex.org/W2042636537', 'https://openalex.org/W2044481057', 'https://openalex.org/W2045257800', 'https://openalex.org/W2046871397', 'https://openalex.org/W2048252048', 'https://openalex.org/W2048303474', 'https://openalex.org/W2048537033', 'https://openalex.org/W2050612192', 'https://openalex.org/W2058643100', 'https://openalex.org/W2061401558', 'https://openalex.org/W2063058287', 'https://openalex.org/W2067529228', 'https://openalex.org/W2068912236', 'https://openalex.org/W2069105450', 'https://openalex.org/W2069281978', 'https://openalex.org/W2070997984', 'https://openalex.org/W2071480555', 'https://openalex.org/W2072638460', 'https://openalex.org/W2073242445', 'https://openalex.org/W2077629445', 'https://openalex.org/W2080215918', 'https://openalex.org/W2082886109', 'https://openalex.org/W2083498072', 'https://openalex.org/W2084319140', 'https://openalex.org/W2084568307', 'https://openalex.org/W2085537179', 'https://openalex.org/W2089075748', 'https://openalex.org/W2091931020', 'https://openalex.org/W2092142406', 'https://openalex.org/W2097238635', 'https://openalex.org/W2098547240', 'https://openalex.org/W2099498989', 'https://openalex.org/W2099800060', 'https://openalex.org/W2102040676', 'https://openalex.org/W2104632133', 'https://openalex.org/W2112139143', 'https://openalex.org/W2112614773', 'https://openalex.org/W2115326521', 'https://openalex.org/W2116955911', 'https://openalex.org/W2128659391', 'https://openalex.org/W2131299828', 'https://openalex.org/W2132740006', 'https://openalex.org/W2137032131', 'https://openalex.org/W2137564443', 'https://openalex.org/W2144378579', 'https://openalex.org/W2151132530', 'https://openalex.org/W2158932701', 'https://openalex.org/W2159081128', 'https://openalex.org/W2166449773', 'https://openalex.org/W2168140893', 'https://openalex.org/W2169796085', 'https://openalex.org/W2178642128', 'https://openalex.org/W2205934829', 'https://openalex.org/W2207127340', 'https://openalex.org/W2216691256', 'https://openalex.org/W2261143360', 'https://openalex.org/W2319410698', 'https://openalex.org/W2320375341', 'https://openalex.org/W2321168360', 'https://openalex.org/W2326396972', 'https://openalex.org/W2326812465', 'https://openalex.org/W2326995674', 'https://openalex.org/W2327190127', 'https://openalex.org/W2341548328', 'https://openalex.org/W2443182084', 'https://openalex.org/W2493800212', 'https://openalex.org/W2520434625', 'https://openalex.org/W2558507278', 'https://openalex.org/W2564710589', 'https://openalex.org/W2578463389', 'https://openalex.org/W2597762035', 'https://openalex.org/W2608099609', 'https://openalex.org/W2623981028', 'https://openalex.org/W264355108', 'https://openalex.org/W2752750730', 'https://openalex.org/W2754429168', 'https://openalex.org/W2757758469', 'https://openalex.org/W2778588658', 'https://openalex.org/W2781476857', 'https://openalex.org/W2783656427', 'https://openalex.org/W2803099510', 'https://openalex.org/W2805614790', 'https://openalex.org/W2810391035', 'https://openalex.org/W2883092225', 'https://openalex.org/W2884003181', 'https://openalex.org/W2886623906', 'https://openalex.org/W2889791970', 'https://openalex.org/W2898183063', 'https://openalex.org/W2899994227', 'https://openalex.org/W2904119042', 'https://openalex.org/W2908262322', 'https://openalex.org/W2908999361', 'https://openalex.org/W2909357423', 'https://openalex.org/W2914786831', 'https://openalex.org/W2921912966', 'https://openalex.org/W2922415739', 'https://openalex.org/W2963476952', 'https://openalex.org/W303654052', 'https://openalex.org/W833643460']",Iivonen,,False,
1891,1913,https://openalex.org/W3169860614,,atomic layer deposition of yttrium oxide films and their properties of water wettability,article,2020-01-01,2020,,,,,"Bo Zhao, Felix Mattelaer, Geert Rampelberg, Jolien Dendooven, Christophe Detavernier",Deposition,,,,,0,[],Zhao,,False,
1892,1914,https://openalex.org/W3210539370,,atomic layer deposition: from molecular precursors to conformal functional oxides,article,2020-01-24,2020,,,,,"Pengmei Yu, Mateusz Ścigaj, Mariona Coll",Deposition,,,,,0,[],Yu,,False,
1893,1915,https://openalex.org/W3048659795,,atomic layer deposition of inorganic-organic hybrid material thin films,article,2020-09-04,2020,,,,,Leo D. Salmi,Deposition,,,,,0,"['https://openalex.org/W2236280763', 'https://openalex.org/W2970916325', 'https://openalex.org/W652169801']",Salmi,,False,
1894,1916,https://openalex.org/W3042232745,,physical property of silicon oxide film by atomic layer deposition method,article,2020-01-28,2020,,,,,"Kenshiro Usuki, Toshimitsu Mochizuki, Katsuto Tanahashi, Takato Hidetaka, Katsuhiko Yamaguchi","Silicon oxide, Deposition",,the japan society of applied physics,,journal,0,[],Usuki,,False,
1895,1917,https://openalex.org/W3157428193,,surface reaction of low-temperature yttrium oxide atomic layer deposition,article,2020-07-09,2020,,,,,"Kentaro Saito, Kazuki Yoshida, Masanori Miura, Kensaku Kanomata, Bashir Ahmmad, Shigeru Kubota, Fumihiko Hirose",Deposition,,the japan society of applied physics,,journal,0,[],Saito,,False,
1896,1918,https://openalex.org/W3186524360,,atomic layer deposition: how a small country can be big in nanolayers,article,2020-06-02,2020,58,2,1,44,"W. M. M. Kessels, Bart Macco",Deposition,,,,,0,[],Kessels,,False,
1897,1919,https://openalex.org/W4406205963,,deposition of porphyrinic metal-organic framework thin film by atomic layer deposition,article,2021-11-03,2021,,,,,"Ben Gikonyo, Catherine Journet, Catherine Marichy, Alexandra Fateeva",Deposition,,,,,0,[],Gikonyo,,False,
1898,1920,https://openalex.org/W4287906198,,nanoscale sofc electrode architecture engineered using atomic layer deposition,article,2020-01-07,2020,,,,,"Xueyan Song, Yun Chen, Kirk Gerdes, Shiwoo Lee",Deposition,,osti oai (u.s. department of energy office of scientific and technical information),,repository,0,[],Song,,False,
1899,1921,https://openalex.org/W4403382492,,spatial atomic layer deposition. much more that scalable fast ald,article,2023-06-28,2023,,,,,David Muñoz‐Rojas,Deposition,,,,,0,[],Muñoz‐Rojas,,False,
1900,1922,https://openalex.org/W4399401671,,tunable doping of carbon nanotubes through engineered atomic layer deposition,article,2023-11-28,2023,,,,,,"Deposition, Carbon fibers",,osti oai (u.s. department of energy office of scientific and technical information),,repository,0,[],,,False,
1901,1923,https://openalex.org/W4406206035,,direct surface structuration and functionalization using localized atomic layer deposition,article,2023-08-28,2023,,,,,"Catherine Marichy, Laabdia Midani, Thomas Souvignet, Waël Ben-Yahia, Vincent Salles","Surface Modification, Deposition",,,,,0,[],Marichy,,False,
1902,1924,https://openalex.org/W4403620927,,"spatial atomic layer deposition of cu, cu2o and cuo thin films",article,2022-11-16,2022,,,,,"Abderrahime Sekkat, Matthieu Weber, Jesús López‐Sánchez, Hervé Rabat, Dunpin Hong, Juan Rubio‐Zuazo, Daniel Bellet, Guy Chichignoud, Anne Kaminski, David Muñoz‐Rojas",Deposition,,,,,0,[],Sekkat,,False,
1903,1925,https://openalex.org/W3043621507,,"atomic layer deposition for crystalline silicon solar cells: innovate at the nanoscale, deploy at the gigawatt scale",article,2020-06-02,2020,58,2,22,24,Bart Macco,"Silicon solar cell, Deposition","Over the last decade, solar energy has boomed with an annual production already exceeding 140 gigawatts. This market is dominated by crystalline silicon cells, for which innovations at the nanoscale have been key to enabling higher cell efficiency at low cost. Atomic layer deposition is very much present in the research for nanolayer innovations, as ALD provides a platform to prepare these nanolayers with atomic-level precision and control. Meanwhile, nanoscale ALD layers are also deployed at the gigawatt scale, with Dutch companies and universities playing a pioneering role in scaling up. In this perspective article, I will show where ALD nanolayers can be found in the solar cells you buy today, and which future innovations are expected.",,,,0,[],Macco,,False,
1904,1926,https://openalex.org/W3030307822,,low temperature neutral beam enhanced atomic layer deposition of silicon nitride,article,2020-01-28,2020,,,,,"HuaHsuan Chen, Ge Beibei, Daisuke Ohori, Tomohiro Kubota, Dai Ishikawa, Seiji Samukawa","Deposition, Atomic beam",,the japan society of applied physics,,journal,0,[],Chen,,False,
1905,1927,https://openalex.org/W3207269551,,atomic layer deposition: from molecular chemistry to nanocoatings of functional complex oxides,article,2020-01-24,2020,,,,,"Pengmei Yu, Christoph Bohr, Sebastian M. J. Beer, Sanjay Mathur, Anjana Devi",Deposition,,,,,0,[],Yu,,False,
1906,1928,https://openalex.org/W3092919645,,atomic layer deposition of manganese oxide on carbon substrate for electrocatalytic water splitting,article,2020-01-01,2020,,,,,Sakeb Hasan Choudhury,"Deposition, Carbon fibers",,,,,0,[],Choudhury,,False,
1907,1929,https://openalex.org/W3007304206,,surface engineering of monolayer mos 2 for atomic layer deposition of tio 2,article,2020-03-04,2020,,,,,"Jaron A. Kropp, Can Ataca, Theodosia Gougousi","Deposition, Surface Engineering",,bulletin of the american physical society,['0003-0503'],journal,0,[],Kropp,,False,
1908,1930,https://openalex.org/W3183855874,,evaluation of the sin film formed by atomic layer deposition on trench si substrate.,article,2020-07-09,2020,,,,,"Tappei Nishihara, Ryo Yokogawa, Yuji Otsuki, Munehito Kagaya, Atsushi Ogura",Deposition,,the japan society of applied physics,,journal,0,[],Nishihara,,False,
1909,1931,https://openalex.org/W3188548883,,rt-atomic layer deposition of aluminum silicate and its application to ion sorption,article,2020-07-09,2020,,,,,"Yoshiharu Mori, Kentaro Saito, Kazuki Yoshida, Masanori Miura, Kesanku Kanomata, Bashir Ahmmad, Shigeru Kubota, Fumihiko Hirose",Deposition,,the japan society of applied physics,,journal,0,[],Mori,,False,
1910,1932,https://openalex.org/W3177005369,,dry etching of photo-cured masks for area selective atomic layer deposition,article,2021-01-26,2021,,,,,"Chiaki Miyajima, Shunya Ito, Masaru Nakagawa","Dry etching, Deposition, Dry cleaning",,the japan society of applied physics,,journal,0,[],Miyajima,,False,
1911,1933,https://openalex.org/W4389529262,,stitching two-dimensional atomic crystals by atomic layer deposition as stable interfaces for batteries,article,2022-11-15,2022,,,,,"Yi Cui, Jin Xie, Lei Liao","Image stitching, Deposition, Atomic layer epitaxy",,osti oai (u.s. department of energy office of scientific and technical information),,repository,0,[],Cui,,False,
1912,1934,https://openalex.org/W4402755594,,fast open-air deposition of functional thin films by spatial atomic layer deposition,article,2022-06-06,2022,,,,,"David Muñoz‐Rojas, Abderrahime Sekkat, Chiara Crivello, Masoud Akbari, Fidel Toldrá‐Reig, Carmen Jiménez, Dorina T. Papanastasiou, Daniel Bellet","Deposition, Layer by layer",,,,,0,[],Muñoz‐Rojas,,False,
1913,1935,https://openalex.org/W4405147236,,revisited thermal and plasma enhanced atomic layer deposition processes of metal nitrides,article,2022-06-26,2022,,,,,"E. Blanquet, Arnaud Mantoux, F. Mercier, Raphaël Boichot, Ioana Nuta, S. Lay, Michel Pons, Carmen Jiménez",Deposition,,,,,0,[],Blanquet,,False,
